step=9700, loss=0.001669, loss_cross=0.000250, loss_adv_spatial=0.000719, loss_adv_temporal=0.000699
step=9800, loss=0.001653, loss_cross=0.000242, loss_adv_spatial=0.000708, loss_adv_temporal=0.000703
step=9900, loss=0.001694, loss_cross=0.000270, loss_adv_spatial=0.000718, loss_adv_temporal=0.000706
step=10000, loss=0.001706, loss_cross=0.000278, loss_adv_spatial=0.000719, loss_adv_temporal=0.000709
step=10100, loss=0.001668, loss_cross=0.000233, loss_adv_spatial=0.000713, loss_adv_temporal=0.000723
step=10200, loss=0.001697, loss_cross=0.000251, loss_adv_spatial=0.000724, loss_adv_temporal=0.000722
step=10300, loss=0.001716, loss_cross=0.000271, loss_adv_spatial=0.000714, loss_adv_temporal=0.000731
step=10400, loss=0.001659, loss_cross=0.000243, loss_adv_spatial=0.000712, loss_adv_temporal=0.000705
step=10500, loss=0.001716, loss_cross=0.000290, loss_adv_spatial=0.000718, loss_adv_temporal=0.000708
step=10600, loss=0.001685, loss_cross=0.000240, loss_adv_spatial=0.000719, loss_adv_temporal=0.000726
step=10700, loss=0.001740, loss_cross=0.000258, loss_adv_spatial=0.000756, loss_adv_temporal=0.000725
step=10800, loss=0.001774, loss_cross=0.000315, loss_adv_spatial=0.000747, loss_adv_temporal=0.000711
step=10900, loss=0.001734, loss_cross=0.000289, loss_adv_spatial=0.000729, loss_adv_temporal=0.000717
step=11000, loss=0.001787, loss_cross=0.000323, loss_adv_spatial=0.000740, loss_adv_temporal=0.000724
step=11100, loss=0.001739, loss_cross=0.000307, loss_adv_spatial=0.000717, loss_adv_temporal=0.000715
step=11200, loss=0.001675, loss_cross=0.000243, loss_adv_spatial=0.000712, loss_adv_temporal=0.000720
step=11300, loss=0.001812, loss_cross=0.000358, loss_adv_spatial=0.000738, loss_adv_temporal=0.000715
step=11400, loss=0.001651, loss_cross=0.000242, loss_adv_spatial=0.000699, loss_adv_temporal=0.000710
step=11500, loss=0.001735, loss_cross=0.000316, loss_adv_spatial=0.000722, loss_adv_temporal=0.000697
step=11600, loss=0.001765, loss_cross=0.000297, loss_adv_spatial=0.000740, loss_adv_temporal=0.000728
step=11700, loss=0.001802, loss_cross=0.000322, loss_adv_spatial=0.000745, loss_adv_temporal=0.000736
step=11800, loss=0.001780, loss_cross=0.000341, loss_adv_spatial=0.000721, loss_adv_temporal=0.000717
step=11900, loss=0.001836, loss_cross=0.000348, loss_adv_spatial=0.000760, loss_adv_temporal=0.000728
step=12000, loss=0.001884, loss_cross=0.000360, loss_adv_spatial=0.000764, loss_adv_temporal=0.000759
step=12100, loss=0.001776, loss_cross=0.000344, loss_adv_spatial=0.000719, loss_adv_temporal=0.000713
step=12200, loss=0.001823, loss_cross=0.000376, loss_adv_spatial=0.000718, loss_adv_temporal=0.000729
step=12300, loss=0.001746, loss_cross=0.000317, loss_adv_spatial=0.000712, loss_adv_temporal=0.000717
step=12400, loss=0.001772, loss_cross=0.000339, loss_adv_spatial=0.000730, loss_adv_temporal=0.000704
step=12500, loss=0.001830, loss_cross=0.000378, loss_adv_spatial=0.000742, loss_adv_temporal=0.000709
step=12600, loss=0.001746, loss_cross=0.000296, loss_adv_spatial=0.000723, loss_adv_temporal=0.000727
step=12700, loss=0.001859, loss_cross=0.000386, loss_adv_spatial=0.000731, loss_adv_temporal=0.000741
